Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-12-06,Iron Man,2008,https://boxd.it/Thifn,,,,2019-12-01
2019-12-06,The Incredible Hulk,2008,https://boxd.it/ThHiV,4,,,2019-12-01
2019-12-06,Iron Man 2,2010,https://boxd.it/ThHo5,,,,2019-12-02
2019-12-06,Thor,2011,https://boxd.it/ThHvF,,,,2019-12-02
2019-12-06,Captain America: The First Avenger,2011,https://boxd.it/ThHDT,,,,2019-12-03
2019-12-06,The Avengers,2012,https://boxd.it/ThHIp,,,,2019-12-03
2019-12-08,Iron Man 3,2013,https://boxd.it/TrEKd,,,,2019-12-04
2019-12-08,Thor: The Dark World,2013,https://boxd.it/TrENh,,,,2019-12-04
2019-12-08,Captain America: The Winter Soldier,2014,https://boxd.it/TrEPn,,,,2019-12-05
2019-12-08,Guardians of the Galaxy,2014,https://boxd.it/TrEUx,,,,2019-12-05
2019-12-08,Avengers: Age of Ultron,2015,https://boxd.it/TrEWD,,,,2019-12-05
2019-12-08,Ant-Man,2015,https://boxd.it/TrEYT,,,,2019-12-06
2019-12-08,Captain America: Civil War,2016,https://boxd.it/TrF0v,,,,2019-12-06
2019-12-08,Doctor Strange,2016,https://boxd.it/TrF3p,,,,2019-12-07
2019-12-08,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/TrF6t,,,,2019-12-07
2019-12-25,Incredibles 2,2018,https://boxd.it/UCRZ7,,,,2019-12-25
2019-12-28,Star Wars: The Force Awakens,2015,https://boxd.it/US68H,,,,2019-12-28
2019-12-31,Star Wars: The Last Jedi,2017,https://boxd.it/V6B9p,,,,2019-12-30
2019-12-31,Toy Story 4,2019,https://boxd.it/Vbpvj,,,,2019-12-31
2020-01-01,The Irishman,2019,https://boxd.it/VhE7t,,,,2020-01-01
2020-01-02,Her,2013,https://boxd.it/VoLQp,,,,2020-01-02
2020-01-03,The Dark Knight,2008,https://boxd.it/Vr8VV,,,,2020-01-02
2020-01-03,The Dark Knight Rises,2012,https://boxd.it/VwXBx,,,,2020-01-03
2020-01-04,Joker,2019,https://boxd.it/VyLyF,,,,2020-01-03
2020-01-05,The Wolf of Wall Street,2013,https://boxd.it/VG2e7,,,,2020-01-04
2020-01-06,Prisoners,2013,https://boxd.it/VRA7B,,,,2020-01-06
2020-01-18,Marriage Story,2019,https://boxd.it/WUC7N,,,,2020-01-17
2020-01-19,Gone Girl,2014,https://boxd.it/WYL0p,,,,2020-01-18
2020-01-20,Mad Max: Fury Road,2015,https://boxd.it/X8q1L,5,,,2020-01-19
2020-01-23,Fast & Furious,2009,https://boxd.it/Xrrql,,,,2020-01-23
2020-02-05,Terminator Genisys,2015,https://boxd.it/Yw62B,,,,2020-02-04
2020-04-21,Star Wars: The Rise of Skywalker,2019,https://boxd.it/16dgSL,,,,2020-04-21
2020-04-27,Knives Out,2019,https://boxd.it/16P2t9,,,,2020-04-26
2020-04-29,Bad Boys for Life,2020,https://boxd.it/177jTz,5,,,2020-04-28
2020-05-01,The Call of the Wild,2020,https://boxd.it/17l2yx,,,,2020-04-30
2021-05-03,Ocean's Eleven,2001,https://boxd.it/1PZXQJ,,,,2021-04-30
2021-05-03,Ocean's Twelve,2004,https://boxd.it/1PZXWH,,,,2021-05-01
2021-05-03,Ocean's Thirteen,2007,https://boxd.it/1PZY2l,,,,2021-05-03
2021-07-16,The Raid,2011,https://boxd.it/1ZTGc1,,,,2021-06-18
2021-07-15,The Tomorrow War,2021,https://boxd.it/1ZHxJL,4.5,,,2021-07-14
2021-07-15,Godzilla vs. Kong,2021,https://boxd.it/1ZHDyf,,,,2021-07-14
2021-07-15,Black Widow,2021,https://boxd.it/1ZHDI5,,,,2021-07-14
2021-07-16,Mortal Kombat,2021,https://boxd.it/1ZTGhP,,,,2021-07-16
2021-10-14,Free Guy,2021,https://boxd.it/2cN3ZX,5,,,2021-10-10
2021-10-21,Dune,2021,https://boxd.it/2dPmnr,5,,,2021-10-20
2021-10-22,The Green Knight,2021,https://boxd.it/2dWcJV,3,,,2021-10-21
2021-10-23,Superman Returns,2006,https://boxd.it/2e5ZkN,,,,2021-10-22
2021-10-27,Batman v Superman: Dawn of Justice,2016,https://boxd.it/2eLIPt,5,,,2021-10-26
2021-10-28,Suicide Squad,2016,https://boxd.it/2eVRvd,5,,,2021-10-27
2021-10-29,Wonder Woman,2017,https://boxd.it/2f5XVr,4,,,2021-10-29
2021-11-01,Zack Snyder's Justice League,2021,https://boxd.it/2fEV7z,5,,,2021-11-01
2021-11-04,The SpongeBob Movie: Sponge Out of Water,2015,https://boxd.it/2g5Wn3,5,,,2021-11-01
2021-11-02,Wonder Woman 1984,2020,https://boxd.it/2fQmtp,3.5,,,2021-11-02
2021-11-06,Aquaman,2018,https://boxd.it/2gnJt9,3.5,,,2021-11-05
2021-11-07,Shazam!,2019,https://boxd.it/2gwc6p,4,,,2021-11-06
2021-11-09,The SpongeBob SquarePants Movie,2004,https://boxd.it/2gSrQr,,,,2021-11-08
2021-11-20,The SpongeBob Movie: Sponge on the Run,2020,https://boxd.it/2iA6YV,3.5,,,2021-11-09
2021-11-20,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/2izPMt,2.5,,,2021-11-10
2021-11-22,No Time to Die,2021,https://boxd.it/2iQNsZ,4,,,2021-11-21
